TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Chicago Bulls,82,42,40,33.5,30.5,27.3,71.3,4.1,4.7,11,9.9,9.4,30.6
Minnesota Timberwolves,82,29,53,32.3,29.2,23.5,70.3,4.4,4.2,11.6,8.8,8.8,30.6
Memphis Grizzlies,82,42,40,29.2,33.3,20.6,70.8,5,2.5,9.2,7.2,8.7,23.3
Philadelphia 76ers,82,10,72,25.6,27.3,19.3,69,4.5,4.5,10.6,7.8,8.7,23.9
San Antonio Spurs,82,67,15,33.5,27.9,27.2,75,5.7,5.2,9.1,7.3,8.4,27.8
Los Angeles Lakers,82,17,65,24.3,30,20.5,71.3,3.5,2.1,8.2,7.1,8.2,23.9
Milwaukee Bucks,82,33,49,30.6,27.4,21.8,68.9,5,4.2,11,9,8.1,27.9
Dallas Mavericks,82,42,40,23.9,25.2,18.2,72.8,3.2,2.2,7.2,6.4,7.7,20
Sacramento Kings,82,33,49,24.4,26,19.8,71.9,4.3,2.5,9.4,7,7.6,22.2
Brooklyn Nets,82,21,61,24.6,23.4,18.5,71.4,3.8,2,9.4,6.1,7.5,24.5
Atlanta Hawks,82,48,34,29.5,24.4,24.6,69.8,5.8,4.9,9.7,8,7.3,25.1
Houston Rockets,82,41,41,24.2,25.2,15.3,69.1,5.2,2.7,9.6,7.4,7.3,22.4
Phoenix Suns,82,23,59,20.2,40.5,15.1,73.3,3.2,1.4,8.5,5.2,7.3,18.6
Orlando Magic,82,35,47,26.6,27.1,18.6,72.7,4,2.6,8.6,6.1,7.1,23.6
Cleveland Cavaliers,82,57,25,30.1,28.7,24.6,74.5,4.2,2.5,9.6,7,6.9,25.6
Golden State Warriors,82,73,9,22.2,25.1,18.7,71.7,3.5,2.7,7.7,6.5,6.8,20.9
Denver Nuggets,82,33,49,24.9,26.6,19.8,72.7,3.2,2.7,8.8,6.4,6.7,22.4
Boston Celtics,82,48,34,30,25.1,25.7,70.7,5.3,3.6,9.2,8.7,6.6,26.7
Utah Jazz,82,40,42,24.8,34.3,17.8,73.4,4.3,2.5,8.2,5.8,6.1,20.4
Indiana Pacers,82,45,37,22.9,22.6,17.6,71,4.1,2.6,7.7,6.3,5.8,19.8
New Orleans Pelicans,82,30,52,24.3,30.5,17.4,74.7,3.5,2.6,7.6,5.8,5.8,22.1
New York Knicks,82,32,50,21.9,27.6,18.5,71.2,2.5,3.5,7,5.8,5.8,19.5
Washington Wizards,82,41,41,20.8,30.2,15.3,74.1,4,1.6,6.9,5,5.7,17.9
Portland Trail Blazers,82,44,38,24.7,27.8,22.7,73,3.4,3.5,8.5,6.3,5.6,21.1
Charlotte Hornets,82,48,34,22.1,21.2,17.9,75.7,2.9,2.8,6.5,5.1,5.6,18.3
Miami Heat,82,48,34,25.4,38.9,18.3,73.3,3.4,2,8.1,6.6,5.6,21.8
Detroit Pistons,82,44,38,25.1,41.3,17.3,75.6,3,1.8,7.7,5.5,5.5,22.8
Toronto Raptors,82,56,26,22.8,25.4,17.6,73.5,3.2,3.3,6.8,5.4,5.1,18.8
Oklahoma City Thunder,82,55,27,16.8,37.2,14.1,72.1,1.9,3.2,6.1,4.9,4.7,15.7
LA Clippers,82,53,29,17.9,26.8,12.4,69.8,3.1,2.1,5.5,5.1,4.7,15.3
