Player,Season,GAME ID,Date,Player ID,Team,Opponent,Started,Home/Away,Minutes,Usage Rate,Days Rest,Draftkings Position,FANDUEL Position,Yahoo Position,Draftkings Salary,Fanduel Salary,Yahoo Salary,Draftkings Fantasy Points Scored,Fanduel Fantasy Points Scored,Yahoo Points Scored
Carmelo Anthony,NBA 2016-2017 Regular Season,0021600001,10/25/2016,2546,New York,Cleveland,Y,R,30.08,32.08,3+,SF,SF,SF,7600,8000,41,30.25,27.5,28
Kristaps Porzingis,NBA 2016-2017 Regular Season,0021600001,10/25/2016,204001,New York,Cleveland,Y,R,32.80,22.68,3+,PF,PF,PF,7400,6900,26,31.25,28.4,29.9
Joakim Noah,NBA 2016-2017 Regular Season,0021600001,10/25/2016,201149,New York,Cleveland,Y,R,19.52,32.50,3+,C,C,C,5500,5000,19,13.5,12.7,12.7
Courtney Lee,NBA 2016-2017 Regular Season,0021600001,10/25/2016,201584,New York,Cleveland,Y,R,19.62,18.98,3+,SG,SG,SG,3700,3900,11,4.75,3.6,3.6
Derrick Rose,NBA 2016-2017 Regular Season,0021600001,10/25/2016,201565,New York,Cleveland,Y,R,29.58,21.25,3+,PG,PG,PG,5800,6000,25,22.75,20.1,20.6
Brandon Jennings,NBA 2016-2017 Regular Season,0021600001,10/25/2016,201943,New York,Cleveland,N,R,21.23,10.48,3+,PG,PG,PG,4500,4500,13,17.75,17.1,17.1
Kyle O'Quinn,NBA 2016-2017 Regular Season,0021600001,10/25/2016,203124,New York,Cleveland,N,R,15.40,24.23,3+,PF/C,C,PF,3200,3700,10,13.25,12.5,12.5
Lance Thomas,NBA 2016-2017 Regular Season,0021600001,10/25/2016,202498,New York,Cleveland,N,R,16.62,9.46,3+,SF/PF,SF,SF,3100,3500,10,8.25,7.7,7.7
Justin Holiday,NBA 2016-2017 Regular Season,0021600001,10/25/2016,203200,New York,Cleveland,N,R,26.45,16.28,3+,SG/SF,SG,SG,3000,3800,10,21.5,20.2,21.2
Willy Hernangomez,NBA 2016-2017 Regular Season,0021600001,10/25/2016,1626195,New York,Cleveland,N,R,9.43,0.00,3+,C,C,C,3000,3500,10,4.75,4.2,4.2
Sasha Vujacic,NBA 2016-2017 Regular Season,0021600001,10/25/2016,2756,New York,Cleveland,N,R,3.30,0.00,3+,SG,SG,SG,3000,3500,10,2,1.5,1.5
Mindaugas Kuzminskas,NBA 2016-2017 Regular Season,0021600001,10/25/2016,1627851,New York,Cleveland,N,R,9.23,28.61,3+,SF,SF,SF,3000,3500,10,8.75,8.2,8.7
Ron Baker,NBA 2016-2017 Regular Season,0021600001,10/25/2016,1627758,New York,Cleveland,N,R,6.73,21.43,3+,SG,PG,SG,3000,3500,10,6.75,6.2,6.7
LeBron James,NBA 2016-2017 Regular Season,0021600001,10/25/2016,2544,Cleveland,New York,Y,H,32.38,14.28,3+,SF/PF,SF,SF,9000,9600,52,58.25,51.2,51.2
Kevin Love,NBA 2016-2017 Regular Season,0021600001,10/25/2016,201567,Cleveland,New York,Y,H,24.98,22.92,3+,PF/C,PF,PF,7000,6800,34,48.5,44.4,45.4
Tristan Thompson,NBA 2016-2017 Regular Season,0021600001,10/25/2016,202684,Cleveland,New York,Y,H,22.40,25.26,3+,C,C,C,5100,4800,18,6.5,5.2,5.2
JR Smith,NBA 2016-2017 Regular Season,0021600001,10/25/2016,2747,Cleveland,New York,Y,H,25.23,25.98,3+,SG,SG,#N/A,4100,4500,#N/A,17.75,16.6,17.6
Kyrie Irving,NBA 2016-2017 Regular Season,0021600001,10/25/2016,202681,Cleveland,New York,Y,H,29.80,16.99,3+,PG,PG,PG,8000,7100,35,43.5,41.4,43.4
Richard Jefferson,NBA 2016-2017 Regular Season,0021600001,10/25/2016,2210,Cleveland,New York,N,H,25.78,11.27,3+,SF,SF,SF,3000,3500,10,23.5,21.3,22.3
Iman Shumpert,NBA 2016-2017 Regular Season,0021600001,10/25/2016,202697,Cleveland,New York,N,H,13.85,17.04,3+,SG,SG,SG,3100,4000,11,10,8.9,8.9
Mike Dunleavy,NBA 2016-2017 Regular Season,0021600001,10/25/2016,2399,Cleveland,New York,N,H,22.53,0.00,3+,SG/SF,SF,SG,3000,3600,10,18,17.8,17.8
Channing Frye,NBA 2016-2017 Regular Season,0021600001,10/25/2016,101112,Cleveland,New York,N,H,14.13,0.00,3+,PF,PF,PF,3200,3800,12,15.5,13.8,14.8
Jordan McRae,NBA 2016-2017 Regular Season,0021600001,10/25/2016,203895,Cleveland,New York,N,H,5.83,0.00,3+,PG,SG,SG,3400,3500,10,2,2,2
DeAndre Liggins,NBA 2016-2017 Regular Season,0021600001,10/25/2016,202732,Cleveland,New York,N,H,12.00,49.36,3+,SG,SG,#N/A,3000,3500,#N/A,13.75,13.1,13.1
Chris Andersen,NBA 2016-2017 Regular Season,0021600001,10/25/2016,2365,Cleveland,New York,N,H,5.57,33.36,3+,C,C,C,3000,3700,10,4,4,4
James Jones,NBA 2016-2017 Regular Season,0021600001,10/25/2016,2592,Cleveland,New York,N,H,5.50,23.70,3+,SG,SG,SG,3000,3500,10,5.5,5,5.5
Joe Johnson,NBA 2016-2017 Regular Season,0021600002,10/25/2016,2207,Utah,Portland,Y,R,30.50,19.48,3+,SG/SF,SF,SF,4300,5400,18,41,38.3,39.8
Boris Diaw,NBA 2016-2017 Regular Season,0021600002,10/25/2016,2564,Utah,Portland,Y,R,32.17,4.48,3+,PF/C,PF,C,3100,3500,10,5.25,4.6,4.6
Rudy Gobert,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203497,Utah,Portland,Y,R,40.95,28.61,3+,C,C,C,7000,6200,23,36.5,32.8,32.8
Rodney Hood,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203918,Utah,Portland,Y,R,37.65,11.91,3+,SG,SG,SG,6000,5400,22,37.5,35.9,37.4
George Hill,NBA 2016-2017 Regular Season,0021600002,10/25/2016,201588,Utah,Portland,Y,R,38.75,13.48,3+,PG,PG,PG,5300,5600,19,36.5,35.4,35.9
Joe Ingles,NBA 2016-2017 Regular Season,0021600002,10/25/2016,204060,Utah,Portland,N,R,14.10,26.16,3+,SF,SF,SF,3500,3500,10,5,4.5,4.5
Trey Lyles,NBA 2016-2017 Regular Season,0021600002,10/25/2016,1626168,Utah,Portland,N,R,17.90,9.19,3+,PF/C,PF,PF,3600,4000,11,9.5,7.4,7.9
Shelvin Mack,NBA 2016-2017 Regular Season,0021600002,10/25/2016,202714,Utah,Portland,N,R,14.80,20.39,3+,PG,PG,PG,3000,4600,15,15.25,15.2,15.2
Jeff Withey,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203481,Utah,Portland,N,R,4.85,29.17,3+,C,C,C,3000,3500,10,5.25,5.2,5.2
Dante Exum,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203957,Utah,Portland,N,R,8.33,14.19,3+,PG,PG,PG,3400,3500,10,7.5,7.4,7.4
Maurice Harkless,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203090,Portland,Utah,Y,H,22.35,13.13,3+,SF,SF,SF,3700,5600,14,5.75,4.7,4.7
Al-Farouq Aminu,NBA 2016-2017 Regular Season,0021600002,10/25/2016,202329,Portland,Utah,Y,H,28.40,25.82,3+,PF,PF,PF,4400,5000,20,18,16.3,17.3
Mason Plumlee,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203486,Portland,Utah,Y,H,14.57,26.66,3+,C,C,C,4900,5500,23,4.75,4.7,4.7
CJ McCollum,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203468,Portland,Utah,Y,H,34.60,25.72,3+,PG/SG,SG,SG,6300,6900,33,33.5,30.9,31.9
Damian Lillard,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203081,Portland,Utah,Y,H,35.42,7.46,3+,PG,PG,PG,8500,8900,45,59.25,54.8,56.8
Evan Turner,NBA 2016-2017 Regular Season,0021600002,10/25/2016,202323,Portland,Utah,N,H,26.02,11.74,3+,SG/SF,SF,SF,4700,5600,23,20.75,20.5,20.5
Allen Crabbe,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203459,Portland,Utah,N,H,29.15,15.95,3+,SG/SF,SG,SG,3400,4200,12,27.25,24.1,26.1
Ed Davis,NBA 2016-2017 Regular Season,0021600002,10/25/2016,202334,Portland,Utah,N,H,24.12,0.00,3+,PF/C,PF,PF,3800,3900,12,18.25,17.9,17.9
Noah Vonleh,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203943,Portland,Utah,N,H,16.10,16.48,3+,PF,PF,PF,3000,3500,10,14.75,14.2,14.7
Meyers Leonard,NBA 2016-2017 Regular Season,0021600002,10/25/2016,203086,Portland,Utah,N,H,9.25,6.28,3+,PF,PF,PF,3600,3500,10,2.75,2.7,2.7
Kawhi Leonard,NBA 2016-2017 Regular Season,0021600003,10/25/2016,202695,San Antonio,Golden State,Y,R,32.05,21.54,3+,SF,SF,SF,7800,7900,42,54.75,53.5,53.5
LaMarcus Aldridge,NBA 2016-2017 Regular Season,0021600003,10/25/2016,200746,San Antonio,Golden State,Y,R,35.18,41.22,3+,PF/C,PF,PF,7100,7400,34,51,47.3,47.8
Pau Gasol,NBA 2016-2017 Regular Season,0021600003,10/25/2016,2200,San Antonio,Golden State,Y,R,18.27,20.97,3+,C,C,C,6900,7600,37,8,7.3,7.3
Kyle Anderson,NBA 2016-2017 Regular Season,0021600003,10/25/2016,203937,San Antonio,Golden State,Y,R,22.40,14.30,3+,SF,SF,SF,3500,3500,10,10.5,9.8,10.3
Tony Parker,NBA 2016-2017 Regular Season,0021600003,10/25/2016,2225,San Antonio,Golden State,Y,R,26.47,18.70,3+,PG,PG,PG,4600,5000,18,18.25,16.6,17.1
Patty Mills,NBA 2016-2017 Regular Season,0021600003,10/25/2016,201988,San Antonio,Golden State,N,R,17.85,13.26,3+,PG,PG,PG,3600,3900,12,29.25,27.7,29.2
Jonathon Simmons,NBA 2016-2017 Regular Season,0021600003,10/25/2016,203613,San Antonio,Golden State,N,R,28.17,12.99,3+,SG,SF,SG,3000,3500,10,32,29.3,30.8
Dewayne Dedmon,NBA 2016-2017 Regular Season,0021600003,10/25/2016,203473,San Antonio,Golden State,N,R,16.57,20.45,3+,C,C,C,3200,3900,10,17.5,16.6,16.6
David Lee,NBA 2016-2017 Regular Season,0021600003,10/25/2016,101135,San Antonio,Golden State,N,R,11.13,7.38,3+,PF,PF,PF,3300,4000,11,15.5,14.2,14.2
Manu Ginobili,NBA 2016-2017 Regular Season,0021600003,10/25/2016,1938,San Antonio,Golden State,N,R,20.87,8.45,3+,SG,SG,SG,3900,3600,10,22.25,21,22
Bryn Forbes,NBA 2016-2017 Regular Season,0021600003,10/25/2016,1627854,San Antonio,Golden State,N,R,3.68,0.00,3+,PG,SG,PG,3000,3500,10,0,0,0
Nicolas Laprovittola,NBA 2016-2017 Regular Season,0021600003,10/25/2016,1627879,San Antonio,Golden State,N,R,3.68,13.39,3+,PG,PG,#N/A,3000,3500,#N/A,2.5,2,2
Davis Bertans,NBA 2016-2017 Regular Season,0021600003,10/25/2016,202722,San Antonio,Golden State,N,R,3.68,14.64,3+,SF,SF,SF,3000,3500,10,6.75,6.2,6.7
Kevin Durant,NBA 2016-2017 Regular Season,0021600003,10/25/2016,201142,Golden State,San Antonio,Y,H,36.60,3.80,3+,SF/PF,SF,SF,9400,9300,49,55.5,53,53.5
Draymond Green,NBA 2016-2017 Regular Season,0021600003,10/25/2016,203110,Golden State,San Antonio,Y,H,32.62,22.53,3+,PF/C,PF,PF,7200,8200,44,55.5,51.4,52.4
Zaza Pachulia,NBA 2016-2017 Regular Season,0021600003,10/25/2016,2585,Golden State,San Antonio,Y,H,20.08,37.70,3+,C,C,C,4000,4800,11,5.75,4.1,4.1
Klay Thompson,NBA 2016-2017 Regular Season,0021600003,10/25/2016,202691,Golden State,San Antonio,Y,H,33.35,28.47,3+,SG,SG,SG,6500,6500,37,15.25,14.2,14.7
Stephen Curry,NBA 2016-2017 Regular Season,0021600003,10/25/2016,201939,Golden State,San Antonio,Y,H,34.10,18.95,3+,PG,PG,PG,9600,9300,53,35.25,31.6,33.1
Andre Iguodala,NBA 2016-2017 Regular Season,0021600003,10/25/2016,2738,Golden State,San Antonio,N,H,26.80,20.31,3+,SF,SF,SG,3500,4300,15,10.5,9.9,9.9
Ian Clark,NBA 2016-2017 Regular Season,0021600003,10/25/2016,203546,Golden State,San Antonio,N,H,13.37,8.46,3+,PG/SG,SG,PG,3000,3500,10,10,10,10
David West,NBA 2016-2017 Regular Season,0021600003,10/25/2016,2561,Golden State,San Antonio,N,H,10.65,21.52,3+,PF,PF,PF,3100,3800,10,6.5,4.4,4.4
Shaun Livingston,NBA 2016-2017 Regular Season,0021600003,10/25/2016,2733,Golden State,San Antonio,N,H,12.90,19.03,3+,PG,PG,PG,3000,3700,13,6,5.4,5.4
Patrick McCaw,NBA 2016-2017 Regular Season,0021600003,10/25/2016,1627775,Golden State,San Antonio,N,H,9.00,7.24,3+,SG/SF,SG,SG,3000,3500,10,9,9,9
Anderson Varejao,NBA 2016-2017 Regular Season,0021600003,10/25/2016,2760,Golden State,San Antonio,N,H,3.17,20.14,3+,C,C,C,3000,3500,10,1,1,1
JaVale McGee,NBA 2016-2017 Regular Season,0021600003,10/25/2016,201580,Golden State,San Antonio,N,H,3.68,31.85,3+,C,C,C,3000,3500,10,2,2,2
Kevon Looney,NBA 2016-2017 Regular Season,0021600003,10/25/2016,1626172,Golden State,San Antonio,N,H,3.68,21.03,3+,PF,PF,PF,3000,3500,10,0,0,0
Luke Babbitt,NBA 2016-2017 Regular Season,0021600004,10/26/2016,202337,Miami,Orlando,Y,R,18.80,33.11,3+,PF,SF,SF,3000,3500,10,13.25,12.2,13.2
Justise Winslow,NBA 2016-2017 Regular Season,0021600004,10/26/2016,1626159,Miami,Orlando,Y,R,33.95,7.61,3+,SF,SF,SF,5000,4700,14,36,34.6,34.6
Hassan Whiteside,NBA 2016-2017 Regular Season,0021600004,10/26/2016,202355,Miami,Orlando,Y,R,30.97,16.16,3+,C,C,C,8600,8700,38,46,43.3,43.3
