TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Miami Heat,82,41,41,15,26.2,11,71.1,2.1,2.1,4.3,4,3,14
Toronto Raptors,82,51,31,17.1,37.2,11.5,71.7,3,1.9,5.3,4.6,4,14.8
Oklahoma City Thunder,82,47,35,21.5,33.1,13.4,74,3,2.8,7.5,5.5,4.8,21.3
Charlotte Hornets,82,36,46,18,27.6,13.8,75,2.5,2.1,4.9,4.2,4.9,15.1
LA Clippers,82,51,31,17.4,28,13.5,73.1,2.6,1.8,5.5,4.6,5.1,15.5
Indiana Pacers,82,42,40,24.1,26.8,17.1,71.3,4.3,1.8,8.1,6.4,5.2,19.7
Utah Jazz,82,51,31,24.4,26.1,16.1,74.1,3.6,1.4,7.7,5.4,5.2,20.8
Sacramento Kings,82,32,50,17.2,27.3,15.5,73.1,2.8,1.9,6.1,4.2,5.3,14.2
Boston Celtics,82,53,29,21.8,34.2,17.1,71,3,2,6.9,6.2,5.5,19.4
Brooklyn Nets,82,20,62,18.5,25.8,16.9,71,3.5,1.5,7.5,5.7,5.5,17.3
Cleveland Cavaliers,82,51,31,22,41.7,20,72.4,2.8,1.6,7.5,6.1,5.8,19.8
Washington Wizards,82,49,33,23.3,33.3,16.6,71.2,4.2,2.1,8,6.7,5.8,20.9
Detroit Pistons,82,37,45,25.9,40.4,17.5,77.8,3,1.9,6.9,5.3,5.8,21.7
New York Knicks,82,31,51,20.1,35.3,15.3,69.6,2.5,3.5,7,6.1,5.9,19
Portland Trail Blazers,82,41,41,23.2,29.5,18,72.3,3.3,2.7,7.4,5.9,6,20.1
Golden State Warriors,82,67,15,21.2,30.2,19.5,70.6,4.7,4.2,7.2,6.2,6,19.7
Orlando Magic,82,29,53,23,31.3,16.8,72.4,2.9,3.2,7.7,6.4,6.2,22.1
Atlanta Hawks,82,43,39,25.9,28.5,18.6,71.6,5,3.2,9.2,7,6.8,21
Phoenix Suns,82,24,58,21.2,40.3,15.1,71.5,3.9,2.5,7.8,6,6.9,19.1
Milwaukee Bucks,82,42,40,28.7,24.7,21.4,70.4,4.4,4.2,9.5,7.7,7,25.8
Chicago Bulls,82,41,41,24.9,41.2,19.6,73.1,3.6,2.3,8.1,6.2,7,23.4
Minnesota Timberwolves,82,31,51,24,28.4,13.8,71,3.4,2.2,8.6,6.6,7,23
Houston Rockets,82,55,27,24.2,39.3,15.6,71.6,4.2,1.9,8.9,6.9,7,24.4
New Orleans Pelicans,82,34,48,24.9,28.7,22.6,73,4,3.9,7.9,6.2,7.1,22.6
San Antonio Spurs,82,61,21,27.6,27.9,19.2,73.1,4.9,3.9,8.3,7,7.1,23.3
Philadelphia 76ers,82,28,54,25,36.5,20.1,70.9,4.6,2.8,9.6,7,7.8,23.2
Denver Nuggets,82,40,42,27.2,31.7,23.3,75.3,3.7,2.5,10,6.8,8,26.6
Dallas Mavericks,82,33,49,28.3,29.2,19,73.1,4.3,2.2,8.2,6.9,8.1,23.4
Memphis Grizzlies,82,43,39,27.9,34.4,21,73,4.6,2.3,8.5,6.7,8.5,21.8
Los Angeles Lakers,82,26,56,27,37.6,21.1,71.6,4.3,2.5,10.1,7.5,9.1,26.5
