TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT,,,,,,,,,,,,,
Washington Wizards,82,43,39,8.5,21.3,8,73.6,1,1.4,3.1,2.3,2,7.9,,,,,,,,,,,,,
Utah Jazz,82,48,34,11.7,20.1,10.7,76.1,1.7,3.5,4.1,2.5,2.4,10,,,,,,,,,,,,,
Toronto Raptors,82,59,23,14,21.2,14.3,73.4,1.5,3.8,4.4,3.8,3.5,13.1,,,,,,,,,,,,,
San Antonio Spurs,82,47,35,8.4,20.6,9,73.6,0.7,1.4,2.7,2.2,2.1,7.8,,,,,,,,,,,,,
Sacramento Kings,82,27,55,11.9,23.5,11.4,72.9,1.9,1.9,3.8,2.9,2.9,10.5,,,,,,,,,,,,,
Portland Trail Blazers,82,49,33,12.3,21.2,14.4,74.7,1.5,2.4,3.7,3,2.9,10.6,,,,,,,,,,,,,
Phoenix Suns,82,21,61,7.5,22.4,9.2,72.4,0.8,1.2,3,2.1,2.3,7.3,,,,,,,,,,,,,
Philadelphia 76ers,82,52,30,9.4,20.2,11.1,73.9,1.3,2.3,3.6,2.4,2,8,,,,,,,,,,,,,
Orlando Magic,82,25,57,10.8,22.6,11.8,71.6,1.2,2.4,3.8,2.9,2.9,10.6,,,,,,,,,,,,,
Oklahoma City Thunder,82,48,34,6.6,20.9,4,74.4,1.2,1,2,1.7,1.6,5.9,,,,,,,,,,,,,
New York Knicks,82,29,53,13.1,21.7,14.8,73.4,1.5,3.4,4.7,3.5,3.1,11.6,,,,,,,,,,,,,
New Orleans Pelicans,82,48,34,12,21,15.4,73.2,2.5,3.6,4.2,3.3,3.6,11.4,,,,,,,,,,,,,
Minnesota Timberwolves,82,47,35,10.5,24.3,12.7,72.3,1.4,1.9,3.3,2.8,2.8,9.9,,,,,,,,,,,,,
Milwaukee Bucks,82,44,38,9.2,21.5,7.5,71,1.1,2.2,3,2.5,1.9,9.1,,,,,,,,,,,,,
Miami Heat,82,44,38,11.7,21.2,13.6,74.8,1.7,2.2,3.8,2.7,2.7,10.5,,,,,,,,,,,,,
Memphis Grizzlies,81,22,59,9.2,21.7,9.3,71.6,1,2,3.3,2.3,2.8,8,,,,,,,,,,,,,
Los Angeles Lakers,82,35,47,11.3,21.6,10.2,74.2,1,2.1,4.2,3,3.1,11.3,,,,,,,,,,,,,
LA Clippers,82,42,40,10.5,21.8,14.4,72.3,1.1,1.8,3.8,2.9,3.3,9.7,,,,,,,,,,,,,
Indiana Pacers,82,48,34,10.1,21.2,10.3,71.8,1.2,2.1,3.1,2.7,2.5,9.3,,,,,,,,,,,,,
Houston Rockets,82,65,17,8.5,21.3,9.8,75.4,1.3,2.4,2.9,2.1,2,8.4,,,,,,,,,,,,,
Golden State Warriors,82,58,24,6.1,21.3,6.1,71.6,1.2,1.6,2.3,1.7,1.8,6.1,,,,,,,,,,,,,
Detroit Pistons,82,39,43,9.1,21.2,13.6,74.1,1.8,2.3,2.9,2.1,1.8,8.2,,,,,,,,,,,,,
Denver Nuggets,82,46,36,9.5,21.6,10.7,73.9,1.7,1.7,3.7,2.2,2.5,9,,,,,,,,,,,,,
Dallas Mavericks,82,24,58,11.8,26.7,12.4,75.2,2,2.1,3.4,2.8,3.6,9.9,,,,,,,,,,,,,
Cleveland Cavaliers,82,50,32,7.2,24.5,8.6,75.3,0.8,0.7,2.7,1.7,1.9,7.2,,,,,,,,,,,,,
Chicago Bulls,82,27,55,6.7,21.8,3.8,77.8,0.4,0.8,2.3,1.4,1.6,6,,,,,,,,,,,,,
Charlotte Hornets,82,36,46,12.7,21.7,14.5,76.6,1.3,2.2,3.9,2.7,2.7,11.9,,,,,,,,,,,,,
Brooklyn Nets,81,28,53,7,22.1,6.2,73.9,0.5,1.7,2.6,1.9,1.6,6.9,,,,,,,,,,,,,
Boston Celtics,82,55,27,12.7,21.3,12.5,74.8,1.5,2.4,4.1,2.8,2.8,11.2,,,,,,,,,,,,,
Atlanta Hawks,82,24,58,12.9,23.3,13.2,72.8,1.6,2.3,4.9,3.3,3.6,11.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
