TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT,,,,,,,,,,,,,
Detroit Pistons,82,41,41,15.9,25.4,11.4,75,2,1.1,5.6,3.6,4,16.5,,,,,,,,,,,,,
New York Knicks,82,17,65,17.2,33.6,14.2,71.8,2.4,1.7,5.6,4.9,4,18,,,,,,,,,,,,,
Milwaukee Bucks,82,60,22,19.5,41.8,21.8,75.7,3.1,2.4,5.9,4.8,4.6,17.1,,,,,,,,,,,,,
Denver Nuggets,82,54,28,19.1,30.6,16.1,73.8,3.1,2.7,5.7,4.9,4.7,19.2,,,,,,,,,,,,,
Sacramento Kings,82,39,43,17.1,30.9,14,71.8,2.3,2.1,5.9,4.9,5.1,18.3,,,,,,,,,,,,,
Oklahoma City Thunder,82,49,33,20.9,35.3,16.3,73.1,4.2,3.1,6.8,5.5,5.4,20.8,,,,,,,,,,,,,
Chicago Bulls,82,22,60,20.4,27.9,17.5,72.6,2.8,1.4,7,5.7,5.5,20.9,,,,,,,,,,,,,
Brooklyn Nets,82,42,40,24.4,28.3,16.6,72.5,2.9,1.5,8.7,7.1,5.7,25.7,,,,,,,,,,,,,
Charlotte Hornets,82,39,43,21.6,25.9,15.5,73.1,3.1,2.5,6.1,6,5.9,21.9,,,,,,,,,,,,,
Houston Rockets,82,53,29,21.2,26.1,13.5,69.7,3.5,2.1,7.3,6.2,5.9,22.8,,,,,,,,,,,,,
Cleveland Cavaliers,82,19,63,20.2,30.7,18,73.5,3.1,1.3,7.1,5.4,6,20.9,,,,,,,,,,,,,
LA Clippers,82,48,34,20.2,27.7,18.5,72.1,2.7,2.3,7.4,5.8,6.1,21.3,,,,,,,,,,,,,
Utah Jazz,82,50,32,26.2,31.5,19.7,75.3,4.4,2.8,9.1,6.1,6.1,26.1,,,,,,,,,,,,,
Los Angeles Lakers,82,37,45,18.5,37.9,14.3,73.1,2.3,1.6,6.9,5.2,6.2,19.5,,,,,,,,,,,,,
Minnesota Timberwolves,82,36,46,22,29.3,15.2,70.9,3.5,2.1,6.8,6.6,6.3,22.2,,,,,,,,,,,,,
Portland Trail Blazers,82,53,29,22.1,29.9,19.4,73.5,3,2.6,7.2,6.4,6.4,21.7,,,,,,,,,,,,,
Atlanta Hawks,82,29,53,20.9,26.7,16.1,71.4,3.5,2.2,9.2,6.5,7,21.4,,,,,,,,,,,,,
San Antonio Spurs,82,48,34,23.9,26.2,20.3,74.7,2.7,2.7,7.6,6.2,7.2,23.2,,,,,,,,,,,,,
Boston Celtics,82,49,33,27.5,34.9,22.5,73,3.8,3.9,8.4,7.6,7.4,26.2,,,,,,,,,,,,,
Orlando Magic,82,42,40,28.9,33,18.7,75.4,3.8,3,8.8,6.6,7.7,28.3,,,,,,,,,,,,,
Miami Heat,82,39,43,30.2,24.5,21.5,73.4,4.9,2.9,10.7,8.5,7.8,26.3,,,,,,,,,,,,,
Phoenix Suns,82,19,63,25.4,45.6,16.7,67.8,5.2,3.5,10.1,8.2,8.1,27.2,,,,,,,,,,,,,
Golden State Warriors,82,57,25,26.6,33.6,22.3,73.1,4,4.2,9.4,7.5,8.1,25.6,,,,,,,,,,,,,
Washington Wizards,82,32,50,28.6,41,19.9,70.5,4.8,2.2,10,8.3,8.1,30.8,,,,,,,,,,,,,
Toronto Raptors,82,58,24,29.6,27.1,22.7,72.7,4.8,3.7,9.4,7.9,8.1,28.8,,,,,,,,,,,,,
Indiana Pacers,82,48,34,28.5,36.4,22,72.1,4.2,3.7,8.9,7.9,8.2,26.7,,,,,,,,,,,,,
New Orleans Pelicans,82,33,49,25.5,26.6,23.8,72.7,4,3.8,9.5,7.3,8.3,27.4,,,,,,,,,,,,,
Memphis Grizzlies,82,33,49,25.3,26.2,16.7,72.4,4.3,3.2,8.8,6.1,8.5,22.4,,,,,,,,,,,,,
Philadelphia 76ers,82,51,31,33.2,30.2,30.2,74.4,5.3,4.5,12,8.3,10.1,35.2,,,,,,,,,,,,,
Dallas Mavericks,82,33,49,29.6,27.4,21.3,73.5,3.9,2.9,9.6,7.9,10.3,29.3,,,,,,,,,,,,,
