TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Cleveland Cavaliers,65,19,46,18.2,26.7,20.9,74.3,2.5,2.2,7.5,4.6,5.6,20.1
Los Angeles Lakers,71,52,19,12.9,21.3,14.6,74.5,2.2,4.5,4.8,3.2,4.6,12.2
Indiana Pacers,73,45,28,12.2,21.4,13.5,72.7,1.4,2.7,3.7,3.1,3.5,11.8
LA Clippers,72,49,23,12.5,26.9,13.3,73.5,1.2,2.3,4.3,3.3,3.4,11.6
Chicago Bulls,65,22,43,13.2,23.5,10.5,72.1,1.7,2.2,4.9,3.5,3.4,13.6
Dallas Mavericks,75,43,32,9.2,25.5,10.3,75,1.2,2.1,2.8,2.4,3.1,8.8
Miami Heat,73,44,29,13.1,21.7,14.4,76.1,1.9,1.8,4.7,3.3,3,11.9
Memphis Grizzlies,73,34,39,10.4,22,11.8,74.9,1.2,2.5,3.8,2.7,3,9.6
New York Knicks,66,21,45,10.6,22.1,10.8,74.2,1.6,2.1,3.9,2.7,3,9.2
Philadelphia 76ers,73,43,30,10.5,25.6,12.2,76,1.4,2.1,3.6,2.5,2.9,10.2
Brooklyn Nets,70,33,37,9.4,21.7,12.9,73.6,0.8,2.2,3.3,2.6,2.6,9
Portland Trail Blazers,72,35,37,8.8,22.6,12,72.4,0.7,3.5,2.6,2.8,2.6,8.2
Orlando Magic,73,33,40,10.4,23.9,11.8,75.2,1.3,2.1,3.1,2.4,2.5,10
San Antonio Spurs,71,32,39,9.3,22.5,8.6,75.9,1.1,2.9,2.9,2.6,2.5,9.2
Washington Wizards,71,25,46,9.1,22.7,8.5,72.1,1.3,1.7,3.2,2.7,2.5,9.7
Phoenix Suns,73,34,39,9.4,22,9.5,73.5,0.8,1.4,3.2,2.4,2.5,9.7
Denver Nuggets,73,46,27,9.5,21.8,10.7,72.5,1.6,1.2,3.2,2.4,2.4,9.3
Utah Jazz,72,44,28,9.2,21.5,12.7,74.8,1.1,2.5,3.3,2.3,2.4,9
Houston Rockets,51,31,20,6.9,21.4,9.2,73,0.9,1.8,2.7,1.9,2.3,7.5
Boston Celtics,72,48,24,8.6,20.9,9.5,73,1.2,2.4,2.7,2.4,2.3,7.7
Charlotte Hornets,65,23,42,9.3,22.8,8.9,70.9,1,1.3,3.3,2.5,2.3,9.6
Atlanta Hawks,67,20,47,7.7,22.6,7.3,71,1.1,1.6,3.1,2.4,2.3,8.2
Detroit Pistons,66,20,46,7.9,22.1,10.5,72.1,2,2,3,2.1,2.2,8.7
Milwaukee Bucks,73,56,17,7.6,20.4,4.9,78,0.8,2.8,2.6,1.8,2.2,6.1
Oklahoma City Thunder,72,44,28,9.5,21.3,9.5,73.1,1.7,2.4,3.2,2.4,2.1,9.4
Minnesota Timberwolves,64,19,45,7.7,22.1,8.7,74.4,1.4,1.7,2.8,2,2,7.9
Toronto Raptors,72,53,19,5.6,20.2,5.9,71.6,0.8,1.4,2,1.5,1.4,4.6
Golden State Warriors,41,9,32,4.6,21.6,4.5,72.8,1.1,1.2,1.6,1.3,1.4,4.2
New Orleans Pelicans,68,28,40,4.5,22.5,3.5,72.4,0.5,1.1,1.8,1.3,1.4,4.9
Sacramento Kings,63,27,36,4.6,21.9,5.3,73.8,0.6,0.9,1.6,1.2,1.3,4.3
