TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Atlanta Hawks,67,20,47,34.2,31.1,19.4,70.6,5.6,2.3,13.7,10.7,10.3,37.9
Houston Rockets,72,44,28,32.1,44.8,19.3,71.1,6.1,2.4,11.6,9.4,9.9,34.5
New Orleans Pelicans,72,30,42,29.9,55.9,19.6,72.7,5.1,2.3,12.1,8.5,9.3,32.3
San Antonio Spurs,71,32,39,35.1,35.1,22.5,74.6,5.7,2.2,10.9,9.9,9.3,34.8
Portland Trail Blazers,74,35,39,29.7,32.5,15.6,70.7,4.2,2,9,9.8,8.8,29
Memphis Grizzlies,73,34,39,30.4,29.9,18.7,73.1,5.4,2.5,11.3,8.5,8.6,28.3
Dallas Mavericks,75,43,32,25.5,28.3,16.9,73.8,3.8,0.9,7.4,7.1,8.5,25.8
Brooklyn Nets,72,35,37,29.8,34.6,16.3,73.4,4.2,1.7,10.4,8.1,8.1,28.4
Boston Celtics,72,48,24,29.3,27.3,18.5,73.1,5.9,2.4,9.1,7.8,8,26.2
Los Angeles Lakers,71,52,19,22.8,50.4,9.8,73.2,4.6,1.1,8.2,5.7,7.9,21.8
Washington Wizards,72,25,47,30.2,45.8,17,71,5.6,1.9,10.4,8.9,7.8,32.1
Detroit Pistons,66,20,46,29.3,38.3,12,71.7,4.1,1.3,10.5,8,7.6,31.5
Chicago Bulls,65,22,43,29.1,35.6,17,72,6.7,1.4,10.7,7.6,7.5,30
Milwaukee Bucks,73,56,17,25.1,37.2,17.2,77.1,4.3,1.5,8.9,6,7.2,20.5
Oklahoma City Thunder,72,44,28,31.3,32.8,19.8,72.7,5.1,2.2,10.4,8.2,7.1,31.2
Philadelphia 76ers,73,43,30,24.1,33.2,12,74.9,5.1,2,8.2,5.9,6.9,24.1
Golden State Warriors,65,15,50,21.7,32.7,12.2,72.4,3.6,1,7.9,6,6.7,22
Indiana Pacers,73,45,28,24.1,28.3,13.7,71.1,4.4,1.6,7.5,6.8,6.7,24
Phoenix Suns,73,34,39,25.2,33.1,15,73.2,4.4,1.4,8.6,6.6,6.7,25.9
Cleveland Cavaliers,65,19,46,22.4,38.6,8.3,73.4,3.2,0.7,9.1,6,6.5,24.5
Toronto Raptors,72,53,19,23.9,46.4,13.8,71.8,4.8,1.3,8.6,6.8,6.4,20.7
LA Clippers,72,49,23,22.9,35.1,12.8,72.8,3.2,1.4,8.1,6.1,6.3,21.6
Minnesota Timberwolves,64,19,45,22.7,33.1,11.5,72.9,4.2,1.5,8.2,6.4,6.1,24.4
Sacramento Kings,72,31,41,24.7,44.8,13.3,73.4,4.4,1.4,8.4,6.1,6.1,23.7
Denver Nuggets,73,46,27,23.3,47,11.7,72.7,4.2,1.2,7.5,5.8,5.9,23.1
New York Knicks,66,21,45,22.6,29.7,12.2,74,4.3,1.2,8.3,5.9,5.9,20.7
Utah Jazz,72,44,28,22.8,31.3,12,74.3,3.3,0.8,7.9,5.8,5.7,22.6
Orlando Magic,73,33,40,23,27.2,10.6,74.5,4.6,1,6.8,5.3,5.6,21.9
Charlotte Hornets,65,23,42,20.8,36.2,10.6,70.1,3,0.8,7.3,5.8,5,22
Miami Heat,73,44,29,16.6,30.7,9.1,74.4,2.2,0.9,6.3,4.6,3.9,15.2
